points;parameters;xmin;xmax;ymin;ymax
1500000;[[-0.302, -1.104, -0.858, 0.92, -0.248, 1.903, -1.205, -0.419, -0.403, 1.474], [0.778, 0.853, -1.771, -0.45, 1.763, 1.301, -0.495, 0.953, 0.569, -1.986]];-0.53;0.14;-0.1;0.95
1500000;[[-0.326, -0.74, -0.802, 1.168, 0.04, 1.365, -1.234, -0.443, 0.113, 1.402], [0.489, 1.058, -1.68, -0.23, 1.754, 1.666, -0.482, 1.206, 1.105, -2.101]];-0.44;0.02;-0.3;0.62
1500000;[[-0.341, -1.066, -0.66, 1.018, -0.208, 1.939, -1.318, -0.347, -0.375, 1.47], [0.666, 0.875, -1.701, -0.367, 1.834, 1.383, -0.509, 1.034, 0.656, -2.034]];-0.46;0.0;0.0;0.67
1500000;[[-0.421, -0.921, 0.123, 1.312, -0.477, 1.607, -1.322, -0.513, 0.32, 1.362], [0.522, 1.307, -1.889, -0.014, 1.711, 1.846, -0.722, 1.14, 1.595, -2.257]];-0.42;0.0;-0.18;0.53
1500000;[[-0.292, -1.064, -0.784, 0.965, -0.24, 1.92, -1.252, -0.46, -0.383, 1.518], [0.761, 0.848, -1.711, -0.482, 1.669, 1.412, -0.468, 0.975, 0.541, -2.018]];-0.52;0.0;0.0;0.86
1500000;[[0.314, 0.153, 1.511, -2.132, -2.44, -0.992, 0.359, -0.241, -2.106, -2.493], [-0.163, -0.102, 0.584, 1.901, -0.908, -2.089, -1.68, -0.886, -2.395, -1.769]];0.0;0.57;-0.28;0.19
1500000;[[-0.431, -0.922, 0.142, 1.299, -0.496, 1.592, -1.299, -0.557, 0.299, 1.365], [0.519, 1.286, -1.862, -0.023, 1.738, 1.823, -0.715, 1.134, 1.579, -2.254]];-0.51;0.04;-0.29;0.74
1500000;[[-0.376, -0.964, -0.808, 1.198, -0.165, 1.659, -1.473, -0.442, -0.203, 1.549], [0.617, 0.762, -1.602, -0.157, 1.756, 1.285, -0.568, 1.037, 0.423, -2.119]];-0.57;0.1;-0.34;0.87
1500000;[[-0.339, -1.111, -0.723, 0.969, -0.249, 1.889, -1.256, -0.416, -0.343, 1.447], [0.713, 0.82, -1.701, -0.387, 1.78, 1.423, -0.539, 1.021, 0.638, -2.068]];-0.5;0.0;0.0;0.71
1500000;[[-0.475, -1.05, 0.01, 1.213, -0.5, 1.608, -1.172, -0.464, 0.146, 1.34], [0.488, 1.237, -1.931, -0.244, 1.802, 1.856, -0.751, 1.132, 1.552, -2.196]];-0.52;0.02;-0.41;0.73
1500000;[[-0.376, -0.974, -0.813, 1.21, -0.164, 1.657, -1.484, -0.425, -0.204, 1.549], [0.633, 0.749, -1.607, -0.159, 1.76, 1.305, -0.578, 1.032, 0.414, -2.124]];-0.56;0.04;-0.24;0.85
1500000;[[-0.491, -1.062, -0.02, 1.231, -0.442, 1.609, -1.165, -0.463, 0.16, 1.396], [0.531, 1.264, -1.924, -0.217, 1.853, 1.806, -0.733, 1.165, 1.548, -2.219]];-0.55;0.02;-0.35;0.77
1500000;[[-0.428, -0.819, -0.035, 1.309, -0.444, 1.568, -1.443, -0.439, 0.265, 1.322], [0.486, 1.119, -1.837, 0.014, 1.684, 1.963, -0.746, 1.277, 1.579, -2.248]];-0.45;0.02;-0.3;0.61
1500000;[[-0.371, -0.908, -0.359, 1.222, -0.25, 1.525, -1.206, -0.516, 0.138, 1.492], [0.484, 1.386, -1.797, -0.232, 1.62, 1.884, -0.608, 1.382, 1.587, -2.001]];-0.41;0.06;-0.32;0.61
1500000;[[-0.304, -1.075, -0.73, 0.944, -0.256, 1.881, -1.277, -0.455, -0.359, 1.436], [0.69, 0.845, -1.726, -0.381, 1.786, 1.439, -0.557, 1.09, 0.642, -2.084]];-0.5;0.0;0.0;0.79
1500000;[[-0.434, -0.902, 0.111, 1.307, -0.493, 1.596, -1.34, -0.496, 0.32, 1.357], [0.511, 1.293, -1.882, -0.018, 1.72, 1.865, -0.732, 1.153, 1.592, -2.259]];-0.46;0.01;-0.27;0.63
